Date,Open,High,Low,Close,Volume
2024-01-02,100.26500530660499,101.91377156398417,99.71829502726172,101.22953853747201,363160
2024-01-03,100.12558497505492,100.68571419533639,99.9407305195294,100.24556170159678,155591
2024-01-04,101.12711952572376,101.24915776056854,100.07031786452015,101.03990249228471,320884
2024-01-05,101.57252812401987,102.3119710633533,100.79739530065875,101.81679415324203,123247
2024-01-08,101.43255595536891,102.05721203047806,100.49305701380472,102.02282350936284,124300
2024-01-09,101.77973415005577,103.02565961160997,100.88490679962813,102.11633920953119,182798
2024-01-10,103.13367517001643,103.39245515161645,102.46669396266141,103.0645939414725,109268
2024-01-11,104.56464912563419,105.25789675286337,103.64277489061108,104.59537446850939,448951
2024-01-12,103.48403903564099,103.9494428045316,103.39554653358907,103.63773172844219,374329
2024-01-15,103.77445926631991,104.85483226326873,103.57847640390077,104.33476424209093,294776
